w w w w w c c c c c
w w w w w w b b b b
w w w w w w w d d d
w w w w w w w s s s
w w w w w w w w p p
w w w w w w w w w w
w w w w w w w w w w
w w w w w w w w w w
w w w w w w w w w w
w w w w w w w w w w

c c c c c w w w w w
w w w w w w w w w w
w w p p w w w w w w
w w w w w w w w w w
w w w d d d w w w w
w w w w w w w w w b
w w w w w w w w w b
s s s w w w w w w b
w w w w w w w w w b
w w w w w w w w w w

w w w w w w w w p p
w w w w d d d w w w
w w w w w w w w w w
w w w w w w w w w w
c c c c c b b b b w
w w w w w w w w w w
w w w w s w w w w w
w w w w s w w w w w
w w w w s w w w w w
w w w w w w w w w w

c b d s w w w w w w
c b d s w w w w w w
c b d s w w w w w w
c b w w w w w w w w
c w w w w w w w w w
w w w w w w w w w w
w w w w w w w w w w
w w w w w w w w w w
w w w w w w w w w w
w w w w w w w w p p

p p w w w w w w w w
w w w w w w w w w w
w w w w w w s s s w
b b b b w w w w w d
w w w w w w w w w d
c w w w w w w w w d
c w w w w w w w w w
c w w w w w w w w w
c w w w w w w w w w
c w w w w w w w w w


