AL	4858979 9 R
AK	738432 3 R
AZ	6828065 11 S
AR	2978204 6 R
CA	39144818 55 D 
CO	5456574 9 D
CT	3590886 7 D
DE	945934 3 D
DC	672228 3 D
FL	20271272 29 S
GA	10214860 16 S
HI	1431603 4 D
ID	1654930 4 R
IL	12859995 20 D 
IN	6619680 11 R
IA	3123899 6 S
KS	2911641 6 R
KY	4425092 8 R
LA	4670724 8 R
ME	1329328 4 R
MD	6006401 10 D
MA	6794422 11 D
MI	9922576 16 D
MN	5489594 10 D
MS	2992333 6 R
MO	6083672 10 R
MT	1032949 3 R
NE	1896190 5 R
NV	2890845 6 S
NH	1330608 4 S
NJ	8958013 14 D
NM	2085109 5 D
NY	19795791 29 D
NC	10042802 15 S
ND	756927 3 R
OH	11613423 18 S
OK	3911338 7 R
OR	4028977 7 D
PA	12802503 20 D 
RI	1056298 4 D
SC	4896146 9 R
SD	858469 3 R
TN	6600299 11 R 
TX	27469114 38 R
UT	2995919 6 S
VT	626042 3 D
VA	8382993 13 D
WA	7170351 12 D
WV	1844128 5 R
WI	5771337 10 S
WY	586107 3 R
